deck_id,deck_source,count,name,type,price
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,4,Spitfire Lagac,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,5,Stuffy Doll,,$5.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,,$5.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,,$0.39
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",,$3.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Tunnel Ignus,,$0.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,,$0.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,,$0.39
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,,$16.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,,$0.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Crash,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,,$3.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,,$6.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,,$8.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Rush of Blood,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,,$8.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,,$0.35
